Province/State,Country/Region,3/31/20
,Afghanistan,4
,Albania,15
,Algeria,44
,Andorra,12
,Angola,2
,Antigua and Barbuda,0
,Argentina,27
,Armenia,3
Australian Capital Territory,Australia,1
New South Wales,Australia,8
Northern Territory,Australia,0
Queensland,Australia,2
South Australia,Australia,0
Tasmania,Australia,1
Victoria,Australia,4
Western Australia,Australia,2
,Austria,128
,Azerbaijan,5
,Bahamas,0
,Bahrain,4
,Bangladesh,5
,Barbados,0
,Belarus,1
,Belgium,705
,Benin,0
,Bhutan,0
,Bolivia,6
,Bosnia and Herzegovina,13
,Brazil,201
,Brunei,1
,Bulgaria,8
,Burkina Faso,14
,Cabo Verde,1
,Cambodia,0
,Cameroon,6
Alberta,Canada,8
British Columbia,Canada,24
Grand Princess,Canada,0
Manitoba,Canada,1
New Brunswick,Canada,0
Newfoundland and Labrador,Canada,1
Nova Scotia,Canada,0
Ontario,Canada,33
Prince Edward Island,Canada,0
Quebec,Canada,31
Saskatchewan,Canada,2
,Central African Republic,0
,Chad,0
,Chile,12
Anhui,China,6
Beijing,China,8
Chongqing,China,6
Fujian,China,1
Gansu,China,2
Guangdong,China,8
Guangxi,China,2
Guizhou,China,2
Hainan,China,6
Hebei,China,6
Heilongjiang,China,13
Henan,China,22
Hong Kong,China,4
Hubei,China,3187
Hunan,China,4
Inner Mongolia,China,1
Jiangsu,China,0
Jiangxi,China,1
Jilin,China,1
Liaoning,China,2
Macau,China,0
Ningxia,China,0
Qinghai,China,0
Shaanxi,China,3
Shandong,China,7
Shanghai,China,5
Shanxi,China,0
Sichuan,China,3
Tianjin,China,3
Tibet,China,0
Xinjiang,China,3
Yunnan,China,2
Zhejiang,China,1
,Colombia,16
,Congo (Brazzaville),0
,Congo (Kinshasa),8
,Costa Rica,2
,Cote d'Ivoire,1
,Croatia,6
,Diamond Princess,10
,Cuba,6
,Cyprus,8
,Czechia,31
Faroe Islands,Denmark,0
Greenland,Denmark,0
,Denmark,90
,Djibouti,0
,Dominican Republic,51
,Ecuador,75
,Egypt,46
,El Salvador,1
,Equatorial Guinea,0
,Eritrea,0
,Estonia,4
,Eswatini,0
,Ethiopia,0
,Fiji,0
,Finland,17
French Guiana,France,0
French Polynesia,France,0
Guadeloupe,France,4
Mayotte,France,1
New Caledonia,France,0
Reunion,France,0
Saint Barthelemy,France,0
St Martin,France,1
Martinique,France,3
,France,3523
,Gabon,1
,Gambia,1
,Georgia,0
,Germany,775
,Ghana,5
,Greece,49
,Guatemala,1
,Guinea,0
,Guyana,2
,Haiti,0
,Holy See,0
,Honduras,7
,Hungary,16
,Iceland,2
,India,35
,Indonesia,136
,Iran,2898
,Iraq,50
,Ireland,71
,Israel,20
,Italy,12428
,Jamaica,1
,Japan,56
,Jordan,5
,Kazakhstan,2
,Kenya,1
,"Korea, South",162
,Kuwait,0
,Kyrgyzstan,0
,Latvia,0
,Lebanon,12
,Liberia,0
,Liechtenstein,0
,Lithuania,8
,Luxembourg,23
,Madagascar,0
,Malaysia,43
,Maldives,0
,Malta,0
,Mauritania,1
,Mauritius,5
,Mexico,28
,Moldova,4
,Monaco,1
,Mongolia,0
,Montenegro,2
,Morocco,36
,Namibia,0
,Nepal,0
Aruba,Netherlands,0
Curacao,Netherlands,1
Sint Maarten,Netherlands,0
,Netherlands,1039
,New Zealand,1
,Nicaragua,1
,Niger,3
,Nigeria,2
,North Macedonia,9
,Norway,39
,Oman,1
,Pakistan,26
,Panama,30
,Papua New Guinea,0
,Paraguay,3
,Peru,30
,Philippines,88
,Poland,33
,Portugal,160
,Qatar,2
,Romania,82
,Russia,17
,Rwanda,0
,Saint Lucia,0
,Saint Vincent and the Grenadines,0
,San Marino,26
,Saudi Arabia,10
,Senegal,0
,Serbia,16
,Seychelles,0
,Singapore,3
,Slovakia,0
,Slovenia,15
,Somalia,0
,South Africa,5
,Spain,8464
,Sri Lanka,2
,Sudan,2
,Suriname,0
,Sweden,180
,Switzerland,433
,Taiwan*,5
,Tanzania,1
,Thailand,10
,Togo,1
,Trinidad and Tobago,3
,Tunisia,10
,Turkey,214
,Uganda,0
,Ukraine,17
,United Arab Emirates,6
Bermuda,United Kingdom,0
Cayman Islands,United Kingdom,1
Channel Islands,United Kingdom,3
Gibraltar,United Kingdom,0
Isle of Man,United Kingdom,0
Montserrat,United Kingdom,0
,United Kingdom,1789
,Uruguay,1
,US,3873
,Uzbekistan,2
,Venezuela,3
,Vietnam,0
,Zambia,0
,Zimbabwe,1
Diamond Princess,Canada,1
,Dominica,0
,Grenada,0
,Mozambique,0
,Syria,2
,Timor-Leste,0
,Belize,0
Recovered,Canada,0
,Laos,0
,Libya,0
,West Bank and Gaza,1
,Guinea-Bissau,0
,Mali,2
,Saint Kitts and Nevis,0
Northwest Territories,Canada,0
Yukon,Canada,0
,Kosovo,1
,Burma,1
Anguilla,United Kingdom,0
British Virgin Islands,United Kingdom,0
Turks and Caicos Islands,United Kingdom,0
,MS Zaandam,0
,Botswana,1
,Burundi,0
,Sierra Leone,0
